ID Cliente;Vendedor;Zona;País;Tipo de producto;Canal de venta;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades;Precio Unitario;Coste unitario;Importe venta total;Importe Coste total
C2421;9807617136;Europa;United Kingdom;Snacks;Offline;Crítica;45638;242113196;44165;5530;152,58;97,44;843767,4;538843,2
C1908;9764194958;Europa;Malta;Cárnicos;Online;Alta;43856;190800607;43858;994;205,7;117,11;1408016,5;801617,95
C7652;4226849781;Australia y Oceanía;Marshall Islands;Cereales;Online;Crítica;44144;765228068;44156;6845;9,33;6,92;91489,98;67857,52
C2326;7356251109;África;Iran;Frutas;Offline;Baja;44429;232631909;44471;9806;255,28;159,42;927432,24;579172,86
C5305;2295640217;Centroamérica y Caribe;Guatemala;Alimento infantil;Offline;Media;44834;530560958;44877;3633;47,45;31,79;195019,5;130656,9
C5168;8918803965;Centroamérica y Caribe;Grenada;Bebida;Offline;Baja;44582;516876542;44613;4110;152,58;97,44;618864,48;395216,64
C9197;7098171510;Australia y Oceanía;Fiji;Snacks;Offline;Media;44609;919752490;44619;4056;437,2;263,33;3637066,8;2190642,27
C2876;4202029454;África;Tunisia ;Cosméticos;Offline;Media;43911;287675130;43958;8319;81,73;56,67;717507,67;497505,93
C8394;2610464979;Centroamérica y Caribe;Grenada;Cuidado personal;Offline;Crítica;44240;839443290;44287;8779;651,21;524,96;6086859,87;4906801,12
C8141;1753644473;Australia y Oceanía;Australia;Material de oficina;Online;Media;44362;814168298;44389;9347;437,2;263,33;422335,2;254376,78
C4168;9405281337;Asia;Bhutan;Ropa;Online;Crítica;44484;416881215;44490;3270;154,06;90,93;931600,82;549853,71
C1418;7255349645;África;Mali;Verduras;Online;Crítica;44523;141818320;44529;6047;81,73;56,67;634306,53;439815,87
C4779;7219365418;África;Burundi;Cuidado personal;Online;Alta;44592;477993524;44632;7761;109,28;35,84;202386,56;66375,68
C8598;2374426447;África;Libya;Ropa;Offline;Alta;44388;859830653;44413;1852;109,28;35,84;414936,16;136084,48
C3420;9727934071;África;Nigeria;Ropa;Offline;Crítica;44799;342066037;44845;3797;668,27;502,54;4075110,46;3064488,92
C7497;8885263773;Europa;Norway;Doméstico;Online;Crítica;44248;749748504;44271;6098;437,2;263,33;1439699,6;867145,69
C8282;7837044577;África;Kenya;Cosméticos;Offline;Media;44438;828239381;44477;3293;154,06;90,93;1070408,88;631781,64
C2932;2844139857;Australia y Oceanía;Papua New Guinea;Verduras;Online;Alta;44611;293212497;44629;6948;81,73;56,67;54186,99;37572,21
C2806;557838957;Asia;North Korea;Cuidado personal;Offline;Baja;44152;280654180;44198;663;109,28;35,84;553721,76;181601,28
C1968;5027027936;Europa;Montenegro;Ropa;Offline;Media;44160;196863257;44205;5067;9,33;6,92;26329,26;19528,24
C8684;1306736390;Europa;Norway;Frutas;Offline;Alta;44840;868451058;44842;2822;109,28;35,84;395484,32;129704,96
C4923;1856912854;África;Lesotho;Ropa;Offline;Baja;43928;492341411;43975;3619;421,89;364,69;3874215,87;3348948,27
